City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,torbay,47.6666,-52.7314,-2.63,94,20,7.2,CA,1676500037
84,lata,40.1629,-8.3327,11.07,79,1,1.56,PT,1676500038
85,half moon bay,37.4636,-122.4286,15.46,32,0,7.2,US,1676499839
86,ukrayinka,47.9167,35.35,-3.79,89,88,4.0,UA,1676500039
87,balkanabat,39.5108,54.3671,5.24,57,0,3.24,TM,1676500040
88,cape town,-33.9258,18.4232,21.88,68,20,10.29,ZA,1676499926
89,pevek,69.7008,170.3133,-41.24,99,70,1.79,RU,1676500041
90,bridlington,54.0831,-0.1919,7.3,91,100,3.93,GB,1676500042
91,koumac,-20.5667,164.2833,26.15,73,73,3.83,NC,1676500043
92,barrow,71.2906,-156.7887,-27.99,69,0,4.12,US,1676500043
93,saskylakh,71.9167,114.0833,-16.83,97,100,2.78,RU,1676500044
94,ambilobe,-13.2,49.05,22.9,94,19,0.95,MG,1676500045
95,hamilton,39.1834,-84.5333,22.05,41,0,6.17,US,1676499492
96,saint-philippe,-21.3585,55.7679,23.77,84,47,4.76,RE,1676500046
97,mingshui,36.7167,117.5,0.44,48,0,2.87,CN,1676500047
98,nikolskoye,59.7035,30.7861,1.0,97,100,2.5,RU,1676500048
99,bonavista,48.6499,-53.1147,-2.8,78,6,7.59,CA,1676500048
100,mayo,38.8876,-76.5119,21.23,49,0,3.6,US,1676500049
101,hami,42.8,93.45,-1.93,45,11,0.48,CN,1676500050
102,la asuncion,11.0333,-63.8628,24.99,83,96,6.14,VE,1676500051
103,birao,10.2849,22.7882,23.33,18,10,5.29,CF,1676500052
104,punta arenas,-53.15,-70.9167,8.06,53,75,10.29,CL,1676500053
105,jumla,29.2747,82.1838,5.1,40,0,1.62,NP,1676500053
106,bethel,41.3712,-73.414,16.47,63,0,3.09,US,1676499938
107,riviere-au-renard,48.9957,-64.3971,2.16,93,100,4.33,CA,1676500056
108,yulara,-25.2406,130.9889,28.61,35,5,2.96,AU,1676500056
109,santa isabel do rio negro,-0.4139,-65.0192,25.32,93,99,0.96,BR,1676500058
110,samana,19.2056,-69.3369,25.98,81,11,4.55,DO,1676500059
111,isangel,-19.55,169.2667,26.74,69,100,4.21,VU,1676499767
112,kitimat,54.0524,-128.6534,2.21,30,100,1.78,CA,1676500060
113,cankuzo,-3.1333,30.5833,15.7,83,53,1.34,BI,1676500060
114,hilo,19.7297,-155.09,23.86,80,100,4.63,US,1676500061
115,vilaka,57.1846,27.6722,0.47,97,100,1.56,LV,1676500062
116,istok,42.7808,20.4875,2.65,73,1,0.84,XK,1676500062
117,san patricio,28.017,-97.5169,31.2,60,79,7.74,US,1676500063
118,dunedin,-45.8742,170.5036,15.45,73,93,5.36,NZ,1676499935
119,sergeyevka,53.88,67.4158,-21.64,98,46,1.6,KZ,1676500063
120,arraial do cabo,-22.9661,-42.0278,26.98,74,40,4.63,BR,1676499831
121,tiznit,29.5833,-9.5,6.64,90,100,2.78,MA,1676500064
122,nanortalik,60.1432,-45.2371,-6.57,62,100,4.03,GL,1676500065
123,sao joao da barra,-21.6403,-41.0511,27.05,90,100,6.81,BR,1676500065
124,biak,-0.9131,122.8766,24.99,76,100,1.61,ID,1676500066
125,bandar-e anzali,37.4727,49.4622,4.06,80,0,0.4,IR,1676500066
126,boyabat,41.4689,34.7667,0.46,84,96,1.99,TR,1676500067
127,mar del plata,-38.0023,-57.5575,22.83,60,0,5.66,AR,1676500065
128,cururupu,-1.8283,-44.8683,23.94,96,98,1.64,BR,1676500067
129,clarence town,-32.5833,151.7833,23.32,58,37,0.88,AU,1676500068
130,coihaique,-45.5752,-72.0662,14.34,41,40,4.63,CL,1676499935
131,tevaitoa,-16.7833,-151.5,27.71,74,16,5.1,PF,1676500069
132,nishihara,26.1842,127.7558,15.6,68,40,5.14,JP,1676500069
133,ulaanbaatar,47.9077,106.8832,-26.93,76,0,1.0,MN,1676500070
134,walvis bay,-22.9575,14.5053,18.53,82,5,4.12,NA,1676500070
135,cidreira,-30.1811,-50.2056,24.28,85,95,4.17,BR,1676500071
136,salalah,17.0151,54.0924,23.05,73,40,1.03,OM,1676500072
137,norman wells,65.282,-126.8329,-25.98,76,75,2.06,CA,1676500072
138,riyadh,24.6877,46.7219,13.08,51,64,6.02,SA,1676500073
139,peniche,39.3558,-9.3811,13.03,86,1,4.07,PT,1676500073
140,sao luiz gonzaga,-28.4083,-54.9608,30.1,39,61,1.32,BR,1676500074
141,honningsvag,70.9821,25.9704,1.86,80,40,10.29,NO,1676500074
142,port elizabeth,-33.918,25.5701,22.28,83,40,2.06,ZA,1676500075
143,saint-joseph,-21.3667,55.6167,23.21,83,27,4.44,RE,1676500075
144,lagoa,39.05,-27.9833,14.95,75,39,3.61,PT,1676500076
145,zvishavane,-20.3267,30.0665,20.21,93,97,2.76,ZW,1676500076
146,airai,-8.9266,125.4092,16.19,89,100,0.75,TL,1676500077
147,cabo san lucas,22.8909,-109.9124,23.12,59,20,7.72,MX,1676499952
148,tuatapere,-46.1333,167.6833,16.21,68,100,1.28,NZ,1676500078
149,tornio,65.8481,24.1466,-1.99,90,98,6.0,FI,1676500078
150,kanniyakumari,8.0833,77.5667,23.58,71,8,8.23,IN,1676500079
151,padang,-0.9492,100.3543,25.03,89,100,2.05,ID,1676500080
152,rawson,-43.3002,-65.1023,11.64,46,100,7.61,AR,1676499842
153,russkaya polyana,49.417,31.9201,-3.62,85,52,3.39,UA,1676500081
154,hay river,60.8156,-115.7999,-25.01,70,20,4.12,CA,1676500081
155,vila do maio,15.1333,-23.2167,20.44,78,0,9.25,CV,1676500082
156,upernavik,72.7868,-56.1549,-25.75,70,98,3.72,GL,1676500083
157,tuktoyaktuk,69.4541,-133.0374,-34.0,75,20,5.14,CA,1676500083
158,nelson bay,-32.7167,152.15,23.39,71,55,1.34,AU,1676500084
159,tibagi,-24.5094,-50.4136,20.87,99,100,1.4,BR,1676500085
160,bima,-8.4667,118.7167,23.9,92,100,0.24,ID,1676500085
161,leshukonskoye,64.8989,45.7622,-16.52,98,94,2.21,RU,1676500086
162,borogontsy,62.6683,131.1683,-45.57,100,62,1.03,RU,1676500087
163,luderitz,-26.6481,15.1594,18.34,81,0,8.87,NA,1676500088
164,pangody,65.85,74.4859,-15.67,94,100,4.36,RU,1676500089
165,palembang,-2.9167,104.7458,25.05,94,40,3.09,ID,1676499884
166,loandjili,-4.7561,11.8578,25.31,85,79,2.84,CG,1676500090
167,qaanaaq,77.484,-69.3632,-30.18,68,39,3.6,GL,1676500091
168,pitimbu,-7.4706,-34.8086,28.33,78,100,4.28,BR,1676500092
169,antofagasta,-23.65,-70.4,22.6,75,7,3.34,CL,1676499964
170,souillac,-20.5167,57.5167,23.21,94,20,0.0,MU,1676500093
171,scottsbluff,41.8666,-103.6672,-5.87,60,20,4.63,US,1676500093
172,srednekolymsk,67.45,153.6833,-37.97,99,99,1.98,RU,1676500094
173,pacific grove,36.6177,-121.9166,13.9,43,0,3.6,US,1676500095
174,labuhan,-6.8844,112.2051,24.62,88,100,4.06,ID,1676500096
175,chokurdakh,70.6333,147.9167,-41.32,99,98,0.7,RU,1676500097
176,lasem,-6.6922,111.4527,24.1,92,100,2.92,ID,1676500097
177,groa,62.65,8.7167,5.04,79,100,4.86,NO,1676500098
178,khatanga,71.9667,102.5,-15.52,96,100,4.72,RU,1676500099
179,raudeberg,61.9875,5.1352,5.53,58,100,12.72,NO,1676500100
180,antsohihy,-14.8796,47.9875,23.17,96,36,0.75,MG,1676500100
181,the pas,53.8251,-101.2541,-16.99,60,75,7.2,CA,1676500101
182,dikson,73.5069,80.5464,-23.02,97,100,7.13,RU,1676500102
183,udachnyy,66.4167,112.4,-25.01,100,100,1.83,RU,1676499861
184,valparaiso,-33.0393,-71.6273,22.13,60,0,5.14,CL,1676500103
185,kollam,8.8833,76.6,21.51,70,4,3.01,IN,1676500104
186,mount isa,-20.7333,139.5,24.87,65,100,4.12,AU,1676500105
187,teya,60.3778,92.6267,-27.33,100,100,1.45,RU,1676500105
188,berlevag,70.8578,29.0864,1.0,75,0,7.72,NO,1676500106
189,qasigiannguit,68.8193,-51.1922,-13.86,78,100,2.12,GL,1676500107
190,sultanpur,26.2667,82.0667,12.82,49,0,1.94,IN,1676500108
191,ilulissat,69.2167,-51.1,-13.99,40,75,6.17,GL,1676500108
192,maceio,-9.6658,-35.7353,26.69,83,75,4.12,BR,1676500109
193,sangar,63.9242,127.4739,-42.66,100,52,1.39,RU,1676500109
194,guerrero negro,27.9769,-114.0611,15.34,46,100,7.4,MX,1676500110
195,deputatskiy,69.3,139.9,-41.86,96,24,2.34,RU,1676500111
196,leningradskiy,69.3833,178.4167,-33.81,95,95,3.7,RU,1676500112
197,carnarvon,-24.8667,113.6333,22.57,72,0,8.32,AU,1676500113
198,vagamo,61.8751,9.0967,-2.83,100,94,1.76,NO,1676500113
199,hua hin,12.5707,99.9588,24.01,88,20,0.51,TH,1676500114
200,lorengau,-2.0226,147.2712,26.58,80,100,1.05,PG,1676500115
201,innisfail,-17.5333,146.0333,24.25,93,100,2.42,AU,1676499902
202,tchibanga,-2.85,11.0333,21.59,99,93,1.16,GA,1676500117
203,avarua,-21.2078,-159.775,29.03,79,93,2.06,CK,1676500118
204,pangai,-19.8,-174.35,27.06,83,75,2.57,TO,1676500120
205,nurobod,40.9056,69.8023,6.16,90,100,1.05,UZ,1676500121
206,victoria,22.2855,114.1577,15.69,65,85,4.47,HK,1676500067
207,freeport,40.6576,-73.5832,18.05,76,0,8.05,US,1676499990
208,hovd,48.0056,91.6419,-17.86,89,5,0.67,MN,1676500125
209,malakal,9.5334,31.6605,25.65,16,82,5.45,SS,1676500126
210,joniskis,56.2403,23.6153,0.51,92,100,3.32,LT,1676500126
